id,change_date,store_code,old_plan_name,old_plan_speed,old_plan_quota,old_plan_price,new_plan_name,new_plan_speed,new_plan_quota,new_plan_price,number_of_movements
19012,12/9/2019,101-001,Ultra ,100,250,410,Ultra ,100,140,320,1
19013,12/11/2019,TEOSH07034,Super ,30,140,120,Super ,30,250,210,2
19014,12/11/2019,TDOCA03031,Super ,30,250,210,Mega ,70,250,310,1
19015,12/11/2019,TEOGI040210,Super ,30,140,120,Super ,30,250,210,1
19016,12/11/2019,TDOGI05011,Super ,30,250,210,Mega ,70,250,310,1
19017,12/4/2019,TEORS11032,Super ,30,250,210,Mega ,70,140,220,1
19018,12/4/2019,TRMF00061,Super ,30,140,120,Super ,30,250,210,1
19019,12/4/2019,TEOGI04014,Super ,30,250,210,Super ,30,140,120,1
19020,12/4/2019,TRDSL00214,Super ,30,250,210,Super ,30,140,120,2
19021,12/4/2019,TREX00149,Super ,30,250,210,Super ,30,140,120,1
19022,12/4/2019,TREX00007,Super ,30,140,120,Super ,30,250,210,1
19023,12/4/2019,TEECA01021,Super ,30,140,120,Super ,30,250,210,1
19024,12/4/2019,TEOBE09024,Super ,30,140,120,Super ,30,250,210,1
19025,12/4/2019,TEEAL07023,Super ,30,140,120,Ultra ,100,140,320,1
19026,12/3/2019,TDOGI05011,Super ,30,250,210,Super ,30,140,120,1
19027,12/3/2019,Btech006,Super ,30,140,120,Super ,30,250,210,1
19028,12/3/2019,TEOGH08013,Super ,30,140,120,Super ,30,250,210,2
19029,12/3/2019,TREX00050,Super ,30,140,120,Super ,30,250,210,1
19030,12/3/2019,TEOGH08012,Super ,30,140,120,Super ,30,250,210,2
19031,12/3/2019,TEOFA12024,Super ,30,250,210,Super ,30,140,120,2
19032,12/3/2019,TDOGI04043,Super ,30,140,120,Super ,30,250,210,1
19033,12/3/2019,TEEGI05011,Ultra ,100,250,410,Mega ,70,250,310,1
19034,12/3/2019,TEODK07014,Super ,30,140,120,Super ,30,250,210,1
19035,12/8/2019,TDOCA02011,Super ,30,140,120,Super ,30,250,210,9
19036,12/8/2019,WHFCA0203001,Super ,30,140,120,Super ,30,250,210,1
19037,12/8/2019,TRDSL00150,Super ,30,140,120,Super ,30,600,500,1
19038,12/8/2019,TEODK070123,Super ,30,100,110,Super ,30,140,120,1
19039,12/8/2019,TEOMA06032,Super ,30,250,210,Super ,30,140,120,1
19040,12/8/2019,TEORS11035,Super ,30,140,120,Super ,30,250,210,1
19041,12/8/2019,TEOSS11021,Super ,30,250,210,Super ,30,140,120,2
19042,12/8/2019,TEOSO13025,Super ,30,140,120,Super ,30,250,210,2
19043,12/8/2019,TEORS11031,Super ,30,140,120,Super ,30,250,210,2
19044,12/8/2019,TDOCA01011,Super ,30,140,120,Super ,30,250,210,2
